run_id,date,epochs,lr,batch_size,d_model,Static_test_acc,Joint_test_acc,Timeformer_test_acc,Joint_ambiguous_acc,Timeformer_ambiguous_acc,Timeformer_continuation_acc,Timeformer_sign_flip,notes
20260523_001,2026-05-23 20:03,5,0.001,64,64,0.8899,0.8820,0.8702,0.5990,0.6054,0.7620,0.4483,
20260523_002,2026-05-23 20:06,30,0.001,64,64,0.8847,0.8860,0.8362,0.5798,0.6730,0.7985,0.4483,
20260523_003,2026-05-23 20:15,100,0.001,64,64,0.8834,0.8860,0.8834,0.5772,0.5822,0.7670,0.4483,
20260523_004,2026-05-23 20:55,100,0.001,64,64,0.8899,0.8860,0.8820,0.5772,0.5834,0.7443,0.6207,fix: temporal update pre-encoder + gated residual alpha=0
20260523_006,2026-05-23 21:25,50,0.001,64,64,0.8716,0.8768,0.8847,0.6220,0.6048,0.7746,0.4483,
20260523_007,2026-05-23 21:30,50,0.001,64,64,0.8742,0.9043,0.8952,0.5764,0.5700,0.7695,0.3448,
20260523_008,2026-05-23 21:30,50,0.001,64,64,0.8716,0.8899,0.8755,0.5998,0.6234,0.7531,0.7241,
20260528_001,2026-05-28 20:05,30,0.001,64,64,0.8689,0.8611,0.8742,0.6158,0.5952,0.7771,0.5862,
20260528_002,2026-05-28 20:10,30,0.001,64,64,0.8506,0.8834,0.8873,0.5964,0.6002,0.7456,0.5862,multiseed seed=1000
20260528_003,2026-05-28 20:12,30,0.001,64,64,0.8768,0.8873,0.9004,0.6070,0.5896,0.7821,0.6207,multiseed seed=0
20260528_004,2026-05-28 20:15,30,0.001,64,64,0.8663,0.8558,0.8952,0.6460,0.5766,0.7758,0.3448,multiseed seed=1
20260528_005,2026-05-28 20:17,30,0.001,64,64,0.8834,0.8860,0.8873,0.5816,0.5920,0.7519,0.7241,multiseed seed=2
20260528_006,2026-05-28 20:20,30,0.001,64,64,0.8807,0.8938,0.8702,0.5824,0.6248,0.7620,0.6552,multiseed seed=3
20260528_007,2026-05-28 20:23,30,0.001,64,64,0.8755,0.8820,0.9030,0.5738,0.5808,0.7708,0.6207,multiseed seed=4
20260528_008,2026-05-28 20:26,30,0.001,64,64,0.8847,0.8925,0.8952,0.5764,0.5780,0.7657,0.7586,multiseed seed=5
20260528_009,2026-05-28 20:28,30,0.001,64,64,0.8768,0.8558,0.8860,0.6176,0.5896,0.7494,0.7931,multiseed seed=6
20260528_010,2026-05-28 20:31,30,0.001,64,64,0.8650,0.8847,0.8742,0.5918,0.5822,0.7557,0.4138,multiseed seed=7
20260528_011,2026-05-28 20:33,30,0.001,64,64,0.8807,0.8847,0.8768,0.5872,0.6066,0.7607,0.4483,multiseed seed=8
20260528_012,2026-05-28 20:35,30,0.001,64,64,0.8755,0.8860,0.8925,0.6082,0.5858,0.7657,0.6207,multiseed seed=9
20260528_013,2026-05-28 20:48,30,0.001,64,64,0.8611,0.8834,0.8558,0.5934,0.6368,0.7217,0.5172,multiseed seed=10
20260528_014,2026-05-28 20:50,30,0.001,64,64,0.8414,0.8860,0.8585,0.5836,0.6384,0.7443,0.4138,multiseed seed=11
20260528_015,2026-05-28 20:52,30,0.001,64,64,0.8925,0.8873,0.8729,0.5870,0.6362,0.7431,0.5172,multiseed seed=12
20260528_016,2026-05-28 20:54,30,0.001,64,64,0.8729,0.8899,0.8860,0.5916,0.5870,0.7456,0.6897,multiseed seed=13
20260528_017,2026-05-28 20:56,30,0.001,64,64,0.8558,0.8899,0.8938,0.5904,0.5812,0.7582,0.6207,multiseed seed=14
20260528_018,2026-05-28 20:59,30,0.001,64,64,0.8952,0.8453,0.8886,0.6170,0.5748,0.7632,0.4483,multiseed seed=15
20260528_019,2026-05-28 21:01,30,0.001,64,64,0.8480,0.8598,0.8952,0.6238,0.6016,0.7557,0.5172,multiseed seed=16
20260528_020,2026-05-28 21:03,30,0.001,64,64,0.8702,0.8965,0.8663,0.5892,0.5956,0.7292,0.9310,multiseed seed=17
20260528_021,2026-05-28 21:06,30,0.001,64,64,0.8716,0.8938,0.8637,0.5764,0.6260,0.7607,0.6207,multiseed seed=18
20260528_022,2026-05-28 21:09,30,0.001,64,64,0.8860,0.8755,0.8676,0.5880,0.6244,0.7531,0.5862,multiseed seed=19
20260528_023,2026-05-28 21:12,30,0.001,64,64,0.8755,0.8873,0.8886,0.5896,0.5844,0.7620,0.4483,multiseed seed=20
20260528_024,2026-05-28 21:15,30,0.001,64,64,0.8886,0.8886,0.8952,0.5860,0.5922,0.7607,0.7241,multiseed seed=21
20260528_025,2026-05-28 21:18,30,0.001,64,64,0.8899,0.8860,0.8886,0.5756,0.5794,0.7481,0.5862,multiseed seed=22
20260528_026,2026-05-28 21:20,30,0.001,64,64,0.8860,0.8676,0.8886,0.5982,0.5910,0.7683,0.8276,multiseed seed=23
20260528_027,2026-05-28 21:22,30,0.001,64,64,0.8768,0.8978,0.8873,0.5878,0.5856,0.7317,0.4483,multiseed seed=24
20260528_028,2026-05-28 21:25,30,0.001,64,64,0.8755,0.8925,0.8820,0.5938,0.5954,0.7620,0.6552,multiseed seed=25
20260528_029,2026-05-28 21:28,30,0.001,64,64,0.8558,0.8440,0.8571,0.6400,0.6046,0.7418,0.4138,multiseed seed=26
20260528_030,2026-05-28 21:30,30,0.001,64,64,0.8834,0.8611,0.8336,0.5824,0.6420,0.7494,0.3793,multiseed seed=27
20260528_031,2026-05-28 21:32,30,0.001,64,64,0.8860,0.8742,0.8807,0.6002,0.5518,0.7645,0.5172,multiseed seed=28
20260528_032,2026-05-28 21:35,30,0.001,64,64,0.8886,0.9004,0.8847,0.5902,0.6034,0.7557,0.7586,multiseed seed=29
